"code_tech_secteur_naf","code_secteur_naf","libelle_secteur_naf"
"1","0","Transverse aux secteurs"
"2","1","Culture et production animale, chasse et services annexes"
"10","10","Industries alimentaires"
"11","11","Fabrication de boissons"
"12","12","Fabrication de produits a base de tabac"
"13","13","Fabrication de textiles"
"14","14","Industrie de l'habillement"
"15","15","Industrie du cuir et de la chaussure"
"16","16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie"
"17","17","Industrie du papier et du carton"
"18","18","Imprimerie et reproduction d'enregistrements"
"19","19","Cokefaction et raffinage"
"3","2","Sylviculture et exploitation forestiere"
"20","20","Industrie chimique"
"21","21","Industrie pharmaceutique"
"22","22","Fabrication de produits en caoutchouc et en plastique"
"23","23","Fabrication d'autres produits mineraux non metalliques"
"24","24","Metallurgie"
"25","25","Fabrication de produits metalliques, a l'exception des machines et des equipements"
"26","26","Fabrication de produits informatiques, electroniques et optiques"
"27","27","Fabrication d'equipements electriques"
"28","28","Fabrication de machines et equipements n.c.a."
"29","29","Industrie automobile"
"4","3","Peche et aquaculture"
"30","30","Fabrication d'autres materiels de transport"
"31","31","Fabrication de meubles"
"32","32","Autres industries manufacturieres"
"33","33","Reparation et installation de machines et d'equipements"
"34","35","Production et distribution d'electricite, de gaz, de vapeur et d'air conditionne"
"35","36","Captage, traitement et distribution d'eau"
"36","37","Collecte et traitement des eaux usees"
"37","38","Collecte, traitement et elimination des dechets, recuperation"
"38","39","Depollution et autres services de gestion des dechets"
"39","41","Construction de batiments"
"40","42","Genie civil"
"41","43","Travaux de construction specialises"
"42","45","Commerce et reparation d'automobiles et de motocycles"
"43","46","Commerce de gros, a l'exception des automobiles et des motocycles"
"44","47","Commerce de detail, a l'exception des automobiles et des motocycles"
"45","49","Transports terrestres et transport par conduites"
"5","5","Extraction de houille et de lignite"
"46","50","Transports par eau"
"47","51","Transports aeriens"
"48","52","Entreposage et services auxiliaires des transports"
"49","53","Activites de poste et de courrier"
"50","55","Hebergement"
"51","56","Restauration"
"52","58","Edition"
"53","59","Production de films cinematographiques, de video et de programmes de television, enregistrement sonore et edition musicale"
"6","6","Extraction d'hydrocarbures"
"54","60","Programmation et diffusion"
"55","61","Telecommunications"
"56","62","Programmation, conseil et autres activites informatiques"
"57","63","Services d'information"
"58","64","Activites des services financiers, hors assurance et caisses de retraite"
"59","65","Assurance"
"60","66","Activites auxiliaires de services financiers et d'assurance"
"61","68","Activites immobilieres"
"62","69","Activites juridiques et comptables"
"7","7","Extraction de minerais metalliques"
"63","70","Activites des sieges sociaux, conseil de gestion"
"64","71","Activites d'architecture et d'ingenierie, activites de controle et analyses techniques"
"65","72","Recherche-developpement scientifique"
"66","73","Publicite et etudes de marche"
"67","74","Autres activites specialisees, scientifiques et techniques"
"68","75","Activites veterinaires"
"69","77","Activites de location et location-bail"
"70","78","Activites liees a l'emploi"
"71","79","Activites des agences de voyage, voyagistes, services de reservation et activites connexes"
"8","8","Autres industries extractives"
"72","80","Enquetes et securite"
"73","81","Services relatifs aux batiments et amenagement paysager"
"74","82","Activites administratives et autres activites de soutien aux entreprises"
"75","84","Administration publique et defense, securite sociale obligatoire"
"76","85","Enseignement"
"77","86","Activites pour la sante humaine"
"78","87","Hebergement medico-social et social"
"79","88","Action sociale sans hebergement"
"9","9","Services de soutien aux industries extractives"
"80","90","Activites creatives, artistiques et de spectacle"
"81","91","Bibliotheques, archives, musees et autres activites culturelles"
"82","92","Organisation de jeux de hasard et d'argent"
"83","93","Activites sportives, recreatives et de loisirs"
"84","94","Activites des organisations associatives"
"85","95","Reparation d'ordinateurs et de biens personnels et domestiques"
"86","96","Autres services personnels"
"87","97","Activites des menages en tant qu'employeurs de personnel domestique"
"88","98","Activites indifferenciees des menages en tant que producteurs de biens et services pour usage propre"
"89","99","Activites des organisations et organismes extraterritoriaux"
