"code_ss_sect_activite","libelle_ss_sect_activite","definition_ss_sect_activite","code_sect_activite"
"145","Activités juridiques","","110"
"114","Agriculture, sylviculture","","79"
"132","Animation et loisir","","93"
"135","Architecture","","98"
"120","Artisanat d'art","","87"
"128","Assurance","","91"
"122","Audiovisuel","","87"
"129","Banque","","91"
"138","BTP","","99"
"124","Commerce de détail","","88"
"125","Commerce de gros","","88"
"146","Comptabilité","","110"
"150","Conseil, orientation et formation","","112"
"148","Défense","","111"
"115","Élevage, pêche","","79"
"151","Enseignement","","112"
"137","Étude des sols et des bâtiments","","98"
"130","Finance","","91"
"143","Gestion administrative","","103"
"123","Grande distribution","","88"
"139","Gros Œuvre","","99"
"142","Hôtellerie","","102"
"126","Imprimerie","","89"
"133","Informatique","","96"
"152","Logistique et courrier","","113"
"117","Maintenance","","81"
"119","Médical","","85"
"116","Nettoyage","","81"
"136","Normes","","98"
"127","Papier","","89"
"144","Ressources humaines","","103"
"141","Restauration","","102"
"140","Second Œuvre","","99"
"149","Sécurité","","111"
"147","Service public","","111"
"118","Soins animaliers","","85"
"121","Spectacle","","87"
"131","Sport","","93"
"134","Télécommunication","","96"
"153","Transport","","113"
