"code_theme","libelle_theme","definition_theme"
"001","Métiers de l'environnement et du développement durable","Métiers liés à l'aménagement du cadre de vie (espaces verts, bâtiment), à l'exploitation forestière, à la protection de l'environnement naturel, à la prévention des risques industriels (tourisme, traitement des déchets, …)"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","Métiers de l'armée, du contrôle, de la surveillance et de la défense du territoire (terrestre, maritime et aérienne)"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","Métiers liés au patrimoine naturel et culturel (gestion, animation, tourisme, protection, métiers d'art et restauration d'ouvrages et d'œuvres d'art, …)"
"004","Métiers de l'intelligence économique","Métiers liés aux activités de collecte, de traitement et de diffusion de l'information utile aux décisions des acteurs économiques (études socio-économiques, marketing, stratégie commerciale, …)"
"005","Métiers de la recherche","Métiers liés au développement de la connaissance (enseignement, recherche scientifique, culture) ou à la recherche industrielle"
"006","Métiers de la mer, du nautisme et de la construction navale","Métiers du secteur naval (conception, construction navale et maintenance), du transport maritime (transport de personnes et de marchandises) et des activités liées à la mer (loisirs, pêche, aquaculture)"
"007","Métiers de l'aéronautique","Métiers liés au secteur aéronautique (conception, construction et entretien d'aéronefs) et au transport aérien (navigation aérienne, exploitation aéroportuaire)"
"008","Métiers de la sécurité publique et privée","Métiers de la prévention, de la sécurité civile, des secours, de la surveillance auprès des personnes et du gardiennage"
"009","Métiers du multimédia","Métiers du traitement de l'information basés sur des supports de communication tels que des textes, des sons, des images fixes et des vidéos (jeux vidéos, films d'animation, site web…)"
"010","Métiers de l'humanitaire (hors santé et tertiaire)","Métiers liés à la mise en œuvre d'actions élaborées par les organisations humanitaires (éducation, agriculture, bâtiment, logistique, marketing, …)"
"011","Métiers du nucléaire","Métiers liés au développement, à la production et à la maintenance industrielles des énergies nucléaires (bâtiment, industrie, production d'énergie, …)"
"012","Métiers auprès des enfants","Métiers liés à l'éducation, l'enseignement, l'animation, aux loisirs et aux soins des enfants "
"013","Métiers saisonniers, de vacances / Jobs d'été","Métiers dont l'exercice et les recrutements sont liés aux saisons (agriculture) ou aux périodes de fortes activités touristiques (hôtellerie restauration, animation, loisirs…)"
"014","Métiers des services à la personne à domicile","Métiers susceptibles d'être exercés au domicile du particulier, quel que soit le domaine (culturel et sportif, médical et paramédical, entretien des jardins et des bâtiments, garde d'enfants, aide à domicile ...)"
"015","Métiers du sport et autour du sport","Métiers attachés aux activités sportives (sport professionnel, éducation sportive, art et culture, …) ou plus largement en lien avec le sport (médical, paramédical, commerce, communication, …)"
"016","Métiers de l'ingénierie","Métiers liés à la conception, aux études, à la réalisation et à la mise en œuvre de produits, de systèmes ou de services (industrie, développement informatique, BTP, ...) "
"017","Métiers accessibles sans diplôme et sans expérience","Métiers qui ne nécessitent ni diplôme particulier, ni expérience longue. Certains métiers peuvent cependant être soumis à l'obtention d'un permis ou d'une habilitation particulière (Permis de conduire, CACES, …)"
